"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
2.150788500E-2	-1.806169748E-3	4.785060883E-2	1.151061058E-2	4.924872760E-2
2.956440600E-2	1.432254165E-1	-1.577453613E-1	6.202363968E-2	2.219100062E-1
3.759041100E-2	2.659133375E-1	-1.990242004E-1	-2.978301048E-2	3.334779800E-1
4.558589900E-2	2.260728925E-1	-9.011459351E-2	-1.720118523E-1	2.980229354E-1
5.361190300E-2	1.649298668E-1	3.860282898E-2	-1.953976154E-1	2.585967275E-1
6.163790800E-2	1.656489670E-1	1.328239441E-1	-2.044372559E-1	2.947479805E-1
6.969443000E-2	2.393228412E-1	1.220703125E-1	-1.983718872E-1	3.339580649E-1
7.775095100E-2	3.366227746E-1	8.296012878E-2	-2.694692612E-1	4.391024460E-1
8.580747400E-2	3.111835420E-1	4.553890228E-2	-3.160191774E-1	4.458442654E-1
9.386399500E-2	2.658583820E-1	5.961513519E-2	-2.868448496E-1	3.956192758E-1
1.019205170E-1	1.955089867E-1	4.611587524E-2	-1.886490583E-1	2.755701454E-1
1.099465220E-1	3.206643462E-2	1.129722595E-1	-2.978277206E-2	1.211528009E-1
1.180030440E-1	-1.013351977E-1	1.693544388E-1	1.174471378E-1	2.296597013E-1
1.260595650E-1	-1.037060320E-1	1.310482025E-1	1.841478348E-1	2.486744810E-1
1.341160870E-1	-8.796074986E-2	5.805683136E-2	2.001039982E-1	2.261621084E-1
1.421726090E-1	-1.078106835E-1	5.131626129E-2	2.477154732E-1	2.749899231E-1
1.502291310E-1	-8.551950008E-2	5.354881287E-2	2.999937534E-1	3.165079973E-1
1.582551350E-1	-1.619334668E-1	1.053886414E-1	3.534791470E-1	4.028358484E-1
1.663116570E-1	-1.370063871E-1	1.916732788E-1	3.255715370E-1	4.018783667E-1
1.743681790E-1	-7.363237441E-2	1.348838806E-1	1.885080338E-1	2.432091006E-1
1.824247010E-1	-1.467981935E-2	1.144132614E-1	6.202435493E-2	1.309691265E-1
1.904812230E-1	8.121538162E-2	1.150150299E-1	4.253864288E-3	1.408633759E-1
1.985377440E-1	6.716887653E-2	4.643058777E-2	-1.615452766E-2	8.323716849E-2
2.065942660E-1	5.213715881E-2	1.387023926E-2	1.524543762E-2	5.606326992E-2
2.146507890E-1	-5.325359106E-2	7.420444489E-2	1.839852333E-2	9.317054396E-2
2.226767930E-1	-1.564832479E-1	1.931314468E-1	1.343536377E-2	2.489322631E-1
2.307333140E-1	-1.622621119E-1	2.583141327E-1	-3.615140915E-3	3.050708989E-1
2.387898370E-1	-6.588862836E-2	2.124681473E-1	-3.441500664E-2	2.250964630E-1
2.468463590E-1	4.100523889E-2	1.412286758E-1	-4.194092751E-2	1.529248505E-1
2.549028800E-1	1.502785236E-1	9.665584564E-2	-5.806088448E-2	1.878751007E-1
2.629594020E-1	2.307065576E-1	8.381175995E-2	-1.388044357E-1	2.819868760E-1
2.710159230E-1	2.927991450E-1	6.606197357E-2	-2.248878479E-1	3.750600856E-1
2.790419280E-1	3.254132867E-1	9.170722961E-2	-2.907170057E-1	4.458928128E-1
2.870984500E-1	2.202725410E-1	1.517200470E-1	-3.379430771E-1	4.309808445E-1
2.951549720E-1	1.352699101E-1	2.488441467E-1	-3.682041168E-1	4.645380820E-1
3.032114940E-1	9.467940778E-3	2.919645309E-1	-2.555215359E-1	3.881033168E-1
3.112680160E-1	-9.565496445E-2	2.271804810E-1	-3.753530979E-2	2.493386104E-1
3.193245380E-1	-1.729486287E-1	1.297492981E-1	3.057973385E-1	3.745105082E-1
3.273810590E-1	-2.098017186E-1	8.130073547E-3	4.444760084E-1	4.915707287E-1
3.354070640E-1	-2.147258669E-1	1.262664795E-3	3.158971071E-1	3.819682900E-1
3.434635860E-1	-1.650663614E-1	9.260368347E-2	8.657920361E-2	2.081304984E-1
3.515201080E-1	-1.161634922E-1	1.817321777E-1	-6.454980373E-2	2.251382209E-1
3.595766290E-1	-5.582301319E-2	2.447605133E-1	-2.215863466E-1	3.348498569E-1
3.676331520E-1	-3.192833811E-2	3.199701309E-1	-3.293383121E-1	4.602868967E-1
3.756591560E-1	6.726531684E-2	3.284311295E-1	-3.307460546E-1	4.709401048E-1
3.837156770E-1	1.871306002E-1	2.078399658E-1	-2.422875166E-1	3.700250716E-1
3.917722000E-1	2.092825174E-1	1.615762711E-1	-1.351925135E-1	2.969563590E-1
3.998287220E-1	1.771858335E-1	1.512470245E-1	-1.145887375E-2	2.332419083E-1
4.078852430E-1	1.577276736E-1	1.287927628E-1	9.869384766E-2	2.262875833E-1
4.159417650E-1	1.393856704E-1	1.084384918E-1	1.025993824E-1	2.042398220E-1
4.239982870E-1	1.150067300E-1	9.505081177E-2	-1.211571693E-2	1.496930037E-1
4.320242920E-1	6.053207070E-2	1.010103226E-1	-2.251183987E-2	1.198916168E-1
4.400808130E-1	-2.696297318E-2	1.408720016E-1	4.412770271E-2	1.500639094E-1
4.481373350E-1	-7.895839214E-2	1.572437286E-1	1.754950285E-1	2.485126212E-1
4.561938570E-1	-7.255640626E-2	8.302879333E-2	3.192883730E-1	3.377917668E-1
4.642503790E-1	2.805748582E-2	6.179046631E-2	3.705896139E-1	3.767518363E-1
4.722763830E-1	1.630424559E-1	2.403831482E-2	3.824284077E-1	4.164278689E-1
4.803329060E-1	2.609595060E-1	7.314682007E-4	3.580307961E-1	4.430422663E-1
4.883894270E-1	3.057773113E-1	1.800823212E-2	2.720445395E-1	4.096733967E-1
4.964459490E-1	3.122663498E-1	3.749275208E-2	1.248084307E-1	3.383683260E-1
5.045024710E-1	2.902623415E-1	9.265995026E-2	2.665269375E-2	3.058569263E-1
5.125284760E-1	3.065360188E-1	6.627941132E-2	-1.042289734E-1	3.304859605E-1
5.205849970E-1	2.927607000E-1	6.338119507E-3	-1.320036650E-1	3.212070466E-1
5.286415190E-1	2.657290697E-1	1.586914062E-3	-4.863142967E-3	2.657783041E-1
5.366980410E-1	1.617909670E-1	3.049564362E-2	1.597011089E-1	2.293703239E-1
5.447545630E-1	2.118146420E-2	4.509353638E-2	3.094853163E-1	3.134696834E-1
5.528110850E-1	-5.631064624E-2	1.507072449E-1	3.345140219E-1	3.711915858E-1
5.608370900E-1	-1.258854568E-2	1.701402664E-1	2.709792852E-1	3.202123589E-1
5.688020600E-1	-4.603914171E-2	2.015619278E-1	2.337377071E-1	3.120578937E-1
5.768280650E-1	-2.784822881E-2	2.449913025E-1	2.083858252E-1	3.228326413E-1
5.848540690E-1	-3.457534313E-2	2.428188324E-1	1.645352840E-1	2.953443743E-1
5.929105910E-1	5.216717720E-3	2.021436691E-1	1.433808804E-1	2.478857680E-1
6.009671130E-1	1.421652287E-1	1.276874542E-1	3.750240803E-2	1.947343545E-1
6.090236350E-1	2.148110569E-1	2.698898315E-3	-1.389093399E-1	2.558258762E-1
6.170191220E-1	1.775362492E-1	-2.170276642E-2	-1.816515923E-1	2.549263243E-1
6.250451270E-1	6.663711369E-2	1.097536087E-1	-8.225202560E-2	1.524852624E-1
6.331016490E-1	-4.257759452E-2	1.837749481E-1	-3.343665600E-2	1.915831231E-1
6.411581700E-1	-1.225936785E-1	2.001705170E-1	1.856529713E-2	2.354614961E-1
6.492146920E-1	-2.005483061E-1	2.020845413E-1	6.644093990E-2	2.923562611E-1
6.572712140E-1	-2.076137066E-1	2.494583130E-1	1.639437675E-2	3.249641160E-1
6.653277360E-1	-1.678329110E-1	2.897357941E-1	-9.384965897E-2	3.477390902E-1
6.733537400E-1	-1.549142301E-1	2.895851135E-1	-1.096791029E-1	3.462476892E-1
6.814102630E-1	-1.668903530E-1	3.161363602E-1	-4.111099243E-2	3.598398280E-1
6.894667850E-1	-1.580035686E-1	2.590599060E-1	9.369421005E-2	3.175779709E-1
6.975233060E-1	-1.134726554E-1	1.803426743E-1	1.452136040E-1	2.578497905E-1
7.055798280E-1	-1.192281470E-1	1.684608459E-1	1.235750914E-1	2.405518881E-1
7.136058330E-1	-8.396628499E-2	2.090072632E-1	7.204568386E-2	2.364845738E-1
7.216623550E-1	-1.032543182E-2	2.134084702E-1	-2.856731415E-2	2.155594607E-1
7.297188760E-1	1.370820403E-2	1.338720322E-1	-6.387603283E-2	1.489623557E-1
7.377753980E-1	-5.654139817E-2	1.477003098E-1	-2.986717224E-2	1.609483122E-1
7.458319200E-1	-1.474773586E-1	2.143144608E-1	1.399339437E-1	2.954010291E-1
7.538579250E-1	-1.762386262E-1	2.019834518E-1	1.561713219E-1	3.102367644E-1
7.619144460E-1	-1.146906540E-1	1.801633835E-1	1.648588181E-1	2.697984817E-1
7.699709690E-1	-6.987607479E-2	1.512537003E-1	9.643733501E-2	1.925110575E-1
7.780274900E-1	-7.063318789E-2	1.439447403E-1	6.605994701E-2	1.734158358E-1
7.860534940E-1	-8.565524220E-2	1.893701553E-1	1.000010967E-1	2.306471235E-1
7.941100170E-1	-1.769784689E-1	2.132501602E-1	1.458535194E-1	3.131617129E-1
8.021665390E-1	-2.398619205E-1	2.657260895E-1	2.115901709E-1	4.158298882E-1
8.102230600E-1	-2.627133727E-1	2.463073730E-1	2.682080269E-1	4.490224759E-1
8.182490650E-1	-1.743796915E-1	2.220077515E-1	2.129319906E-1	3.536039467E-1
8.263055870E-1	-8.251272142E-2	9.707736969E-2	9.596216679E-2	1.595026719E-1
8.343621090E-1	5.176277459E-2	2.009201050E-2	-1.165986061E-2	5.673646154E-2
8.424186300E-1	1.625689864E-1	-3.754806519E-2	-9.159433842E-2	1.903366895E-1
8.504751520E-1	2.245334238E-1	-1.022481918E-1	-1.484084129E-1	2.879149322E-1
8.585011570E-1	1.615180075E-1	-6.478309631E-3	-1.315611601E-1	2.084187470E-1
8.665576790E-1	8.801864088E-2	7.968521118E-2	-6.925594807E-2	1.374532661E-1
8.746142000E-1	-2.096752822E-2	1.081485748E-1	4.930901527E-2	1.206943680E-1
8.826707230E-1	-5.589884520E-2	1.194257736E-1	6.480908394E-2	1.469265587E-1
8.907272440E-1	-1.083202362E-1	1.495742798E-1	-1.865041256E-2	1.856167466E-1
8.987837660E-1	-9.465076029E-2	1.438608170E-1	-8.309650421E-2	1.912059886E-1
9.068402880E-1	-8.255539834E-2	5.700874329E-2	-6.014239788E-2	1.169722131E-1
9.148968090E-1	-4.259249568E-2	-4.866504669E-2	3.540837765E-2	7.373032392E-2
9.229228140E-1	-7.893486321E-2	-3.682708740E-2	1.274682283E-1	1.543861918E-1
9.309793360E-1	-6.513430178E-2	-9.956359863E-4	1.785821915E-1	1.900922609E-1
9.390358580E-1	-4.444749653E-2	8.388519287E-3	1.537185907E-1	1.602353030E-1
9.470923800E-1	2.401667833E-2	6.062030792E-2	6.076729298E-2	8.913072684E-2
9.551489020E-1	7.032808661E-2	2.555847168E-3	-7.190585136E-2	1.006132376E-1
9.632054230E-1	1.407917440E-1	-5.350112915E-4	-2.304426432E-1	2.700489089E-1
9.712314280E-1	1.836424768E-1	8.542060852E-3	-2.752577066E-1	3.310050319E-1
9.792879500E-1	2.011198103E-1	1.292324066E-2	-2.847918272E-1	3.488876225E-1
9.873444720E-1	2.121501863E-1	-1.703262329E-3	-2.401492596E-1	3.204407426E-1
9.954009930E-1	1.214274168E-1	3.408145905E-2	-1.173807383E-1	1.722916165E-1
1.003457515E0	-2.558392286E-2	1.178541183E-1	5.491566658E-2	1.325136248E-1
1.011514038E0	-1.006833166E-1	1.705141068E-1	1.146248579E-1	2.288035159E-1
1.019570559E0	-9.865836799E-2	1.488494873E-1	1.200891733E-1	2.152000302E-1
1.027596563E0	-2.630758286E-2	9.850406647E-2	1.298797131E-2	1.027804817E-1
1.035653086E0	1.437893510E-2	7.227420807E-2	-7.102406025E-2	1.023461385E-1
1.043709608E0	6.433293223E-2	9.668731689E-2	-7.553923130E-2	1.385400263E-1
1.051766129E0	6.856980920E-2	6.869506836E-2	-3.118681908E-2	1.019482655E-1
1.059822651E0	7.248070836E-2	6.240940094E-2	-2.112805843E-2	9.795295434E-2
1.067848656E0	9.080386162E-2	4.170322418E-2	3.710603714E-2	1.065896720E-1
1.075905177E0	1.237764359E-1	5.184268951E-2	8.244848251E-2	1.574992787E-1
1.083961699E0	1.692771018E-1	2.811336517E-2	9.126555920E-2	1.943566330E-1
1.092018221E0	1.962460876E-1	2.089118958E-2	7.259368896E-2	2.102826963E-1
1.100074743E0	2.189189196E-1	-8.020401001E-3	4.982578754E-2	2.246606981E-1
1.108100747E0	1.753856540E-1	4.443931580E-2	1.511394978E-2	1.815582878E-1
1.116157270E0	6.124913692E-3	2.263040543E-1	3.466939926E-2	2.290262142E-1
1.124213792E0	-7.786312699E-2	3.126258850E-1	7.949113846E-2	3.318379900E-1
1.132270313E0	-3.932356834E-2	2.050476074E-1	4.785490036E-2	2.141984029E-1
1.140326835E0	2.176833153E-2	1.478900909E-1	1.807606220E-2	1.505725183E-1
1.148383357E0	7.278597355E-2	1.101284027E-1	3.977262974E-2	1.378692319E-1
1.156409362E0	1.376344264E-1	7.749843597E-2	1.411485672E-1	2.118305004E-1
1.164465883E0	1.266442537E-1	3.298568726E-2	2.227827311E-1	2.583775683E-1
1.172522405E0	1.449124813E-1	1.462459564E-2	2.263163328E-1	2.691330313E-1
1.180578927E0	1.805037260E-1	2.226543427E-2	1.693024635E-1	2.484766967E-1
1.188635449E0	1.522964537E-1	7.748603821E-2	4.430580139E-2	1.765256354E-1
1.196691971E0	1.250382960E-1	1.587858200E-1	-5.316114426E-2	2.089823422E-1
1.204748492E0	3.836056590E-2	2.232713699E-1	-7.617509365E-2	2.390068671E-1
1.212805014E0	-4.108649492E-2	2.304973602E-1	1.225197315E-2	2.344509415E-1
1.220861537E0	-8.048252761E-2	1.805992126E-1	1.756277084E-1	2.644590797E-1
1.228887541E0	-1.060524285E-1	1.789045334E-1	2.823623419E-1	3.506885253E-1
1.236944062E0	-3.147754073E-2	1.271648407E-1	2.658187151E-1	2.963466240E-1
1.245000585E0	2.839300036E-2	9.707832336E-2	1.626234055E-1	1.915117107E-1
1.253057106E0	-7.024347782E-3	1.650886536E-1	1.746191978E-1	2.404068827E-1
1.261083111E0	-9.490795434E-2	2.089424133E-1	2.619342804E-1	3.482441947E-1
1.269139633E0	-9.489013255E-2	2.212266922E-1	2.631158829E-1	3.566165369E-1
1.277196155E0	-5.750659108E-2	1.996450424E-1	2.064234018E-1	2.928750105E-1
1.285252676E0	-2.091228962E-2	1.898097992E-1	1.007912159E-1	2.159258042E-1
1.293309198E0	1.131457686E-1	1.559286118E-1	-2.572166920E-2	1.943638372E-1
1.301365720E0	1.755391061E-1	6.953620911E-2	-1.411032677E-1	2.357104035E-1
1.309391725E0	2.250739336E-1	4.096031189E-2	-1.652647257E-1	2.822205738E-1
1.317448246E0	1.305217147E-1	7.739353180E-2	-7.200145721E-2	1.679579906E-1
1.325504768E0	-1.503989100E-2	1.810779572E-1	7.865905762E-3	1.818716508E-1
1.333561291E0	-9.828752279E-2	2.823848724E-1	4.216122627E-2	3.019589746E-1
1.341617812E0	-5.623888969E-2	2.710914612E-1	-9.052157402E-3	2.770114340E-1
1.349643816E0	1.531606913E-2	1.830568314E-1	-1.829624176E-3	1.837055606E-1
1.357700339E0	3.889992833E-2	5.900955200E-2	9.450781345E-2	1.180129588E-1
1.365756860E0	2.244547009E-2	5.708122253E-2	1.930475235E-1	2.025571806E-1
1.373813382E0	-4.805779457E-2	8.863353729E-2	1.838592291E-1	2.096894649E-1
1.381869904E0	-5.367168784E-2	1.582899094E-1	9.905540943E-2	1.942892679E-1
1.389926425E0	-4.484444857E-3	1.680669785E-1	7.190060616E-2	1.828559998E-1
1.397952430E0	9.068846703E-3	1.609535217E-1	-5.520391464E-2	1.703988038E-1
1.406008952E0	-1.998013258E-2	1.562185287E-1	-1.248363256E-1	2.009665211E-1
1.414065474E0	-1.782676578E-2	1.802120209E-1	-4.126143456E-2	1.857327974E-1
1.422121996E0	-4.644888639E-2	1.441612244E-1	6.955802441E-2	1.666681626E-1
1.430178518E0	-8.882716298E-2	1.054706573E-1	8.337068558E-2	1.611365746E-1
1.438235040E0	-1.281393319E-1	1.504411697E-1	1.336795092E-1	2.385842516E-1
1.446291561E0	-1.239342839E-1	1.739492416E-1	9.008479118E-2	2.318044758E-1
1.454317566E0	-1.247254461E-1	1.737318039E-1	1.430320740E-2	2.143449517E-1
1.462374088E0	-9.502294660E-2	1.906461716E-1	1.570689678E-2	2.135931406E-1
1.470430609E0	-4.911547899E-2	1.742410660E-1	4.012441635E-2	1.854245079E-1
1.478487131E0	-1.570084691E-2	1.531419754E-1	8.808922768E-2	1.773659868E-1
1.486543654E0	-6.308019161E-3	1.224193573E-1	8.126389980E-2	1.470717905E-1
1.494600175E0	5.841135979E-3	1.490602493E-1	8.203804493E-2	1.702448754E-1
1.502626179E0	-1.551702619E-2	1.804094315E-1	9.281492233E-2	2.034771507E-1
1.510682702E0	-8.180379868E-3	1.516666412E-1	1.024247408E-1	1.831952953E-1
1.518739224E0	-7.028877735E-4	1.250715256E-1	1.515965462E-1	1.965321688E-1
1.526795745E0	-1.688289642E-2	1.295127869E-1	2.083441019E-1	2.458980662E-1
1.534852267E0	-4.684066772E-2	8.601188660E-2	2.437381744E-1	2.626792540E-1
1.542908789E0	-1.265706271E-1	1.143798828E-1	2.141743898E-1	2.738129845E-1
1.550965311E0	-8.640444279E-2	1.332149506E-1	1.268932819E-1	2.032581014E-1
1.558991315E0	-6.576266885E-2	1.186017990E-1	6.325709820E-2	1.496414910E-1
1.567047838E0	-3.539207578E-2	1.447257996E-1	1.855456829E-2	1.501413604E-1
1.575104359E0	-7.430484891E-2	1.899871826E-1	-9.320735931E-3	2.042136534E-1
1.583160881E0	-3.225246072E-2	1.969013214E-1	-4.648709297E-2	2.048692300E-1
1.591217403E0	-3.842192888E-2	1.247835159E-1	-6.910312176E-2	1.477241074E-1
1.599243408E0	-5.867883563E-2	1.125526428E-1	-2.728521824E-2	1.298298359E-1
1.607299929E0	-4.804739356E-2	6.692314148E-2	4.507887363E-2	9.391146757E-2
1.615356451E0	1.036283374E-2	1.169872284E-2	8.642411232E-2	8.782582553E-2
1.623412973E0	-1.456275582E-2	-2.200317383E-2	1.062736511E-1	1.095002394E-1
1.631469495E0	-1.733708382E-2	4.957485199E-2	5.212950706E-2	7.399814817E-2
1.639495499E0	-1.010157615E-1	1.928825378E-1	-4.229462147E-2	2.218032743E-1
1.647552021E0	-4.275223613E-2	1.949205399E-1	-6.452310085E-2	2.097260144E-1
1.655608544E0	5.047169328E-2	1.371765137E-1	-7.259297371E-2	1.632008810E-1
1.663665065E0	4.754719138E-2	8.670616150E-2	-6.851077080E-3	9.912432147E-2
1.671721587E0	6.153759360E-2	4.356670380E-2	5.569875240E-2	9.374051486E-2
1.679778108E0	3.747078776E-2	-4.264831543E-3	1.488211155E-1	1.535251547E-1
1.687834630E0	4.715409875E-2	5.263328552E-3	1.083446741E-1	1.182784007E-1
1.695860635E0	4.295900464E-2	4.576206207E-2	1.566052437E-3	6.278610455E-2
1.703917157E0	-3.504866362E-2	1.269159317E-1	-1.050554514E-1	1.684420090E-1
1.711973678E0	-1.290509105E-2	1.530475616E-1	-1.399984360E-1	2.078212202E-1
1.720030201E0	-2.964183688E-2	1.721019745E-1	-1.466689110E-1	2.280559089E-1
1.728086723E0	-3.736788034E-2	1.770019531E-1	-7.292926311E-2	1.950505763E-1
1.736143244E0	-6.706950068E-2	1.558389664E-1	8.803784847E-2	1.911406920E-1
1.744199766E0	-8.981749415E-2	1.180820465E-1	2.122614384E-1	2.589700179E-1
1.752256287E0	-9.359905124E-2	9.471702576E-2	2.095111609E-1	2.482479081E-1
1.760282292E0	-3.773936629E-2	1.264238358E-1	1.828246117E-1	2.254597185E-1
1.768338814E0	2.737492323E-2	1.221704483E-1	1.133472919E-1	1.688863921E-1
1.776395336E0	-1.972162724E-2	1.513414383E-1	5.628502369E-2	1.626689196E-1
1.784451858E0	1.461830735E-2	2.067527771E-1	5.238926411E-2	2.137873727E-1
1.792508380E0	5.313581228E-2	1.446876526E-1	1.116952896E-1	1.903516984E-1
1.800564902E0	1.060408950E-1	6.805038452E-2	1.074273586E-1	1.655782704E-1
1.808621423E0	7.873365283E-2	1.061477661E-1	1.086980104E-1	1.711186542E-1
1.816647428E0	-6.933176517E-2	2.159786224E-1	1.221653223E-1	2.576393312E-1
1.824703950E0	-1.002534032E-1	2.971029282E-1	1.187990904E-1	3.353119721E-1
1.832760472E0	-8.004456758E-3	2.274818420E-1	6.252622604E-2	2.360542072E-1
1.840816993E0	9.080985188E-2	1.581335068E-1	4.566216469E-2	1.879831600E-1
1.848873516E0	7.277342677E-2	1.633243561E-1	6.296706200E-2	1.895670536E-1
1.856869003E0	3.147545457E-2	2.190294266E-1	1.483426094E-1	2.664021841E-1
1.864925525E0	-3.328752518E-2	1.621646881E-1	2.458333969E-1	2.963773008E-1
1.872951530E0	-7.333844900E-3	2.103624344E-1	2.514652014E-1	3.279342717E-1
1.881008052E0	-1.025792956E-2	1.839418411E-1	2.065063715E-1	2.767394217E-1
1.889034056E0	-7.977992296E-3	8.045387268E-2	1.159366369E-1	1.413427670E-1
1.897090578E0	-3.629064560E-2	2.114124298E-1	1.339738369E-1	2.529055464E-1
1.905147100E0	-6.236585975E-2	1.915454865E-1	1.232818365E-1	2.361727864E-1
1.913203621E0	-6.210443377E-2	2.529897690E-1	-1.860976219E-3	2.605076719E-1
1.921260143E0	-3.388035297E-2	2.187318802E-1	-4.577565193E-2	2.260241669E-1
1.929316665E0	-2.242738008E-2	2.396659851E-1	-4.725027084E-2	2.453066650E-1
1.937342670E0	2.447435260E-2	1.625642776E-1	-1.099145412E-2	1.647633162E-1
1.945399191E0	3.099152446E-2	1.262273788E-1	6.798207760E-2	1.466812484E-1
1.953455713E0	3.791561723E-2	1.352891922E-1	3.243303299E-2	1.441966060E-1
1.961512236E0	-3.809446096E-2	1.347017288E-1	-4.358696938E-2	1.466136679E-1
